Année,Région,Culture,Rendement_qha,Surface_ha,Production_tonnes,Temp_moyenne_C,Temp_min_C,Temp_max_C,Precip_totales_mm,Precip_moyennes_mm,Nb_mois
2010,Grand Est,Maïs,95.8,198241.0,18994784.0,14.95,10.06,20.49,544.34,90.72,6
2010,Grand Est,Tournesol,26.4,20238.0,534362.0,15.29,10.06,20.49,455.54,91.11,5
2010,Nouvelle-Aquitaine,Maïs,87.0,477088.0,41514459.0,17.47,12.94,21.6,327.07,54.51,6
2010,Nouvelle-Aquitaine,Tournesol,22.4,240442.0,5395851.0,17.48,12.94,21.6,282.37,56.47,5
2010,Occitanie,Maïs,93.1,148194.0,13802194.0,16.67,11.68,21.64,416.42,69.4,6
2010,Occitanie,Tournesol,23.6,218901.0,5165455.0,16.74,11.68,21.64,348.02,69.6,5
2011,Grand Est,Blé,72.8,698125.0,50792178.0,7.93,-1.2,16.99,618.64,68.74,9
2011,Grand Est,Maïs,114.0,190050.0,21672102.0,16.0,12.92,18.34,396.17,66.03,6
2011,Grand Est,Tournesol,30.3,16000.0,485493.0,15.93,12.92,18.34,346.67,69.33,5
2011,Nouvelle-Aquitaine,Blé,50.5,515710.0,26055930.0,11.47,4.62,18.42,578.75,64.31,9
2011,Nouvelle-Aquitaine,Maïs,97.8,466950.0,45655185.0,18.48,15.26,20.8,274.92,45.82,6
2011,Nouvelle-Aquitaine,Tournesol,23.1,254590.0,5886720.0,18.25,15.26,20.8,241.92,48.38,5
2011,Occitanie,Blé,46.2,243296.0,11243669.0,9.94,3.43,17.5,660.61,73.4,9
2011,Occitanie,Maïs,105.1,151553.0,15925004.0,17.64,13.63,20.72,335.69,55.95,6
2011,Occitanie,Tournesol,24.9,261261.0,6514968.0,17.38,13.63,20.72,299.69,59.94,5
2012,Grand Est,Blé,69.2,545580.0,37731121.0,7.91,-1.77,16.25,779.92,86.66,9
2012,Grand Est,Maïs,106.3,237637.0,25260071.0,15.13,8.56,19.51,574.47,95.74,6
2012,Grand Est,Tournesol,29.1,30960.0,902087.0,15.3,8.56,19.51,491.67,98.33,5
2012,Nouvelle-Aquitaine,Blé,69.4,535080.0,37123880.0,11.55,2.49,18.8,667.18,74.13,9
2012,Nouvelle-Aquitaine,Maïs,84.9,475340.0,40337375.0,17.58,10.56,22.0,444.74,74.12,6
2012,Nouvelle-Aquitaine,Tournesol,22.3,223980.0,4992210.0,17.43,10.56,22.0,392.84,78.57,5
2012,Occitanie,Blé,61.4,258573.0,15881487.0,10.16,0.65,18.97,713.06,79.23,9
2012,Occitanie,Maïs,102.3,157544.0,16116438.0,17.07,9.63,21.86,488.91,81.48,6
2012,Occitanie,Tournesol,21.6,240282.0,5192506.0,17.03,9.63,21.86,423.21,84.64,5
2013,Grand Est,Blé,76.1,717610.0,54589990.0,6.65,-0.18,16.11,889.93,98.88,9
2013,Grand Est,Maïs,90.0,199843.0,17981464.0,15.02,9.1,20.78,571.86,95.31,6
2013,Grand Est,Tournesol,22.1,35335.0,780043.0,15.08,9.1,20.78,463.86,92.77,5
2013,Nouvelle-Aquitaine,Blé,63.7,526280.0,33518800.0,10.62,5.55,16.94,907.83,100.87,9
2013,Nouvelle-Aquitaine,Maïs,78.8,507085.0,39974810.0,17.23,11.5,23.15,426.84,71.14,6
2013,Nouvelle-Aquitaine,Tournesol,20.2,268555.0,5430400.0,17.0,11.5,23.15,365.04,73.01,5
2013,Occitanie,Blé,53.4,285078.0,15227134.0,9.14,3.38,16.49,882.04,98.0,9
2013,Occitanie,Maïs,84.2,153613.0,12937015.0,16.35,10.2,22.1,482.18,80.36,6
2013,Occitanie,Tournesol,19.2,240271.0,4602582.0,16.15,10.2,22.1,413.48,82.7,5
2014,Grand Est,Blé,78.9,647047.0,51022332.0,8.95,3.6,17.88,711.58,79.06,9
2014,Grand Est,Maïs,109.9,206932.0,22745929.0,15.55,11.52,18.99,505.48,84.25,6
2014,Grand Est,Tournesol,24.0,24842.0,595750.0,15.52,11.52,18.99,467.68,93.54,5
2014,Nouvelle-Aquitaine,Blé,63.9,519690.0,33231070.0,11.99,7.1,19.8,850.49,94.5,9
2014,Nouvelle-Aquitaine,Maïs,102.9,516990.0,53217110.0,17.8,13.26,20.53,380.37,63.4,6
2014,Nouvelle-Aquitaine,Tournesol,25.6,225910.0,5772125.0,17.43,13.26,20.53,357.57,71.51,5
2014,Occitanie,Blé,52.6,297463.0,15632337.0,10.53,5.5,19.21,771.67,85.74,9
2014,Occitanie,Maïs,106.1,151565.0,16083752.0,16.9,12.28,19.38,478.86,79.81,6
2014,Occitanie,Tournesol,22.8,230217.0,5250821.0,16.64,12.28,19.38,392.46,78.49,5
2015,Grand Est,Blé,84.4,714010.0,60236954.0,8.32,1.52,17.5,722.95,80.33,9
2015,Grand Est,Maïs,89.4,185780.0,16617855.0,16.02,10.2,21.33,409.39,68.23,6
2015,Grand Est,Tournesol,20.7,18410.0,380342.0,16.55,10.2,21.33,297.49,59.5,5
2015,Nouvelle-Aquitaine,Blé,67.2,537350.0,36134177.0,12.0,5.77,20.07,626.06,69.56,9
2015,Nouvelle-Aquitaine,Maïs,88.9,490756.0,43647098.0,18.2,13.58,22.02,365.01,60.84,6
2015,Nouvelle-Aquitaine,Tournesol,20.5,220633.0,4513378.0,18.5,13.58,22.02,296.31,59.26,5
2015,Occitanie,Blé,54.2,295415.0,16016750.0,10.77,3.87,19.95,732.95,81.44,9
2015,Occitanie,Maïs,93.0,140360.0,13050885.0,17.76,12.1,22.79,411.33,68.56,6
2015,Occitanie,Tournesol,17.5,228990.0,4007255.0,18.14,12.1,22.79,319.23,63.85,5
2016,Grand Est,Blé,49.7,722756.0,35896759.9,8.35,3.32,16.66,923.59,102.62,9
2016,Grand Est,Maïs,94.6,172420.0,16309992.0,15.65,8.44,19.21,554.36,92.39,6
2016,Grand Est,Tournesol,21.8,15755.0,343149.0,15.34,8.44,19.21,514.76,102.95,5
2016,Nouvelle-Aquitaine,Blé,55.3,538480.0,29755436.0,11.88,8.34,18.34,765.71,85.08,9
2016,Nouvelle-Aquitaine,Maïs,84.6,435405.0,36829581.0,17.89,11.38,21.72,303.59,50.6,6
2016,Nouvelle-Aquitaine,Tournesol,20.6,196570.0,4050320.0,17.54,11.38,21.72,261.89,52.38,5
2016,Occitanie,Blé,56.0,280755.0,15734865.0,10.44,6.69,17.88,730.68,81.19,9
2016,Occitanie,Maïs,96.4,128955.0,12433325.0,17.09,10.53,20.86,394.02,65.67,6
2016,Occitanie,Tournesol,22.9,203130.0,4649110.0,16.76,10.53,20.86,341.52,68.3,5
2017,Grand Est,Blé,70.4,711930.0,50129200.0,7.94,-1.42,19.42,564.34,62.7,9
2017,Grand Est,Maïs,113.4,181660.0,20598245.0,15.81,8.66,19.55,443.3,73.88,6
2017,Grand Est,Tournesol,31.3,22730.0,710950.0,16.32,8.66,19.55,343.4,68.68,5
2017,Nouvelle-Aquitaine,Blé,63.3,514862.0,32608850.0,11.76,4.35,20.78,589.39,65.49,9
2017,Nouvelle-Aquitaine,Maïs,107.3,408740.0,43846610.0,18.1,12.24,21.1,393.15,65.52,6
2017,Nouvelle-Aquitaine,Tournesol,28.4,209245.0,5936000.0,18.39,12.24,21.1,313.65,62.73,5
2017,Occitanie,Blé,55.9,265135.0,14818905.0,10.61,2.8,20.4,725.55,80.62,9
2017,Occitanie,Maïs,105.4,125510.0,13230310.0,17.37,11.15,21.0,391.59,65.26,6
2017,Occitanie,Tournesol,24.3,207505.0,5047275.0,17.77,11.15,21.0,339.99,68.0,5
2018,Grand Est,Blé,73.5,684656.0,50301622.0,8.53,-0.46,18.51,855.54,95.06,9
2018,Grand Est,Maïs,94.2,187114.0,17627608.0,17.56,12.83,21.76,320.19,53.36,6
2018,Grand Est,Tournesol,25.2,25065.0,632575.0,17.87,12.83,21.76,282.69,56.54,5
2018,Nouvelle-Aquitaine,Blé,60.7,504177.0,30608217.0,11.59,4.73,20.07,823.29,91.48,9
2018,Nouvelle-Aquitaine,Maïs,92.4,396528.0,36649643.0,18.98,13.72,22.68,372.19,62.03,6
2018,Nouvelle-Aquitaine,Tournesol,22.0,194545.0,4282305.0,18.87,13.72,22.68,353.29,70.66,5
2018,Occitanie,Blé,45.7,267965.0,12241455.0,9.98,3.05,19.05,901.93,100.21,9
2018,Occitanie,Maïs,92.6,122170.0,11307350.0,18.1,12.44,22.04,510.55,85.09,6
2018,Occitanie,Tournesol,20.8,188760.0,3920465.0,17.93,12.44,22.04,480.25,96.05,5
2019,Grand Est,Blé,77.5,711968.0,55168478.0,8.59,1.25,19.59,676.3,75.14,9
2019,Grand Est,Maïs,95.8,171135.0,16391055.0,16.09,9.69,20.77,381.86,63.64,6
2019,Grand Est,Tournesol,22.5,30575.0,687200.0,16.26,9.69,20.77,329.66,65.93,5
2019,Nouvelle-Aquitaine,Blé,74.2,517315.0,38385165.0,11.69,5.71,19.31,645.84,71.76,9
2019,Nouvelle-Aquitaine,Maïs,94.2,419357.0,39490706.0,18.16,12.13,22.91,348.32,58.05,6
2019,Nouvelle-Aquitaine,Tournesol,22.4,199785.0,4481670.0,17.99,12.13,22.91,305.72,61.14,5
2019,Occitanie,Blé,61.2,286635.0,17543770.0,10.29,3.68,18.98,714.35,79.37,9
2019,Occitanie,Maïs,97.9,134103.0,13127945.0,17.37,10.41,22.58,431.74,71.96,6
2019,Occitanie,Tournesol,20.6,177550.0,3664275.0,17.24,10.41,22.58,371.74,74.35,5
